upm;nvivi;nhoga;dpto;area;año;e01aimde;e01bimde;e01cimde;e01dde;e01ede;e01fde;e02tde;e01hide;e01ide;e01jde;e01kjde;e01hde;e01kde;e01lde;v19ede;ingrevasode;ingrealmuerzode;v21gde;totpers;ingrem;ipcm;linpobto;linpobex;pobrezai;pobnopoi;fex.2022;facpob;p0pobtot;p1pobtot;p2pobtot;p0pobext;p1pobext;p2pobext;ipcmdefg;quintili;decili;quintiai;decilai
14;3;1;0;1;2024;7077708,07786259;0;0;0;0;0;0;0;0;0;0;0;0;0;1018320,61068702;0;0;301316,344606589;2;8070918,99316573;4035459,49658286;897168;391894;3;0;63,514585485;127,02917097;0; ;0;0; ;0;4035459,49658286;5;10;5;9
14;15;1;0;1;2024;0;0;0;0;0;1527480,91603053;0;0;0;0;0;0;0;0;2036641,22137404;0;0;0;2;3564122,13740458;1782061,06870229;897168;391894;3;0;85,069972887;170,139945774;0; ;0;0; ;0;1782061,06870229;4;7;3;6
14;23;1;0;1;2024;9826793,89312976;0;0;0;0;0;0;0;0;0;0;0;0;0;2036641,22137404;0;0;0;2;11863435,1145038;5931717,5572519;897168;391894;3;0;75,376149458;150,752298916;0; ;0;0; ;0;5931717,5572519;5;10;5;10
14;26;1;0;1;2024;7433740,45801526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7433740,45801526;3716870,22900763;897168;391894;3;0;76,862117893;153,724235786;0; ;0;0; ;0;3716870,22900763;5;9;5;9
14;33;1;0;1;2024;5198526,71755725;1629312,97709923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6827839,69465648;3413919,84732824;897168;391894;3;0;54,527529294;109,055058588;0; ;0;0; ;0;3413919,84732824;5;9;5;9
14;37;1;0;1;2024;2545801,52671755;0;0;2342137,40458015;0;0;0;1629312,97709923;0;0;0;0;0;0;814656,488549617;0;0;2199572,51908397;4;7148610,68702289;1787152,67175572;897168;391894;3;0;99,284791324;397,139165296;0; ;0;0; ;0;1787152,67175572;4;7;3;6
14;40;1;0;1;2024;3869618,32061068;0;0;0;0;0;0;0;0;0;0;0;0;0;1832977,09923664;0;0;0;5;5702595,41984732;1140519,08396946;897168;391894;3;0;93,73668948;468,6834474;0; ;0;0; ;0;1140519,08396946;2;4;2;3
14;54;1;0;1;2024;11227465,3801527;0;0;0;0;0;0;0;0;0;0;0;0;0;3054961,83206107;0;0;0;3;14282427,2122137;4760809,07073791;897168;391894;3;0;79,116376564;237,349129692;0; ;0;0; ;0;4760809,07073791;5;10;5;10
14;56;1;0;1;2024;29429465,6488549;0;0;0;0;0;0;0;0;0;0;0;0;0;2036641,22137404;0;0;0;6;31466106,870229;5244351,14503816;897168;391894;3;0;85,533189234;513,199135404;0; ;0;0; ;0;5244351,14503816;5;10;5;10
14;57;1;0;1;2024;2545801,52671755;0;0;0;0;0;0;3054961,83206107;0;0;0;0;0;0;2545801,52671755;0;0;967404,580152671;4;8065947,83715012;2016486,95928753;897168;391894;3;0;63,197242063;252,788968252;0; ;0;0; ;0;2016486,95928753;4;7;3;6
14;59;1;0;1;2024;5600763,35877862;0;0;0;0;0;0;3054961,83206107;0;0;0;0;0;0;1832977,09923664;0;0;0;5;10488702,2900763;2097740,45801526;897168;391894;3;0;81,156283783;405,781418915;0; ;0;0; ;0;2097740,45801526;4;7;4;7
