upm;nvivi;nhoga;dpto;area;año;e01aimde;e01bimde;e01cimde;e01dde;e01ede;e01fde;e02tde;e01hide;e01ide;e01jde;e01kjde;e01hde;e01kde;e01lde;v19ede;ingrevasode;ingrealmuerzode;v21gde;totpers;ingrem;ipcm;linpobto;linpobex;pobrezai;pobnopoi;fex.2022;facpob;p0pobtot;p1pobtot;p2pobtot;p0pobext;p1pobext;p2pobext;ipcmdefg;quintili;decili;quintiai;decilai
14;10;1;0;1;2022;0;0;0;0;0;0;0;6004468,08510639;0;0;0;0;0;0;1044255,31914894;0;0;0;2;7048723,40425532;3524361,70212766;816163;338225;3;0;89,143494898;178,286989796;0; ;0;0; ;0;3524361,70212766;5;10;5;9
14;20;1;0;1;2022;5430127,65957447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5430127,65957447;2715063,82978724;816163;338225;3;0;89,143494898;178,286989796;0; ;0;0; ;0;2715063,82978724;5;9;4;8
14;22;1;0;1;2022;6474382,97872341;0;0;0;0;0;0;1044255,31914894;0;0;0;0;0;0;1566382,97872341;0;0;0;5;9085021,27659575;1817004,25531915;816163;338225;3;0;89,143494898;445,71747449;0; ;0;0; ;0;1817004,25531915;4;7;4;7
14;24;1;0;1;2022;23913446,8085107;0;0;0;0;0;0;0;0;1044255,31914894;0;0;0;0;2088510,63829787;0;0;0;10;27046212,7659575;2704621,27659575;816163;338225;3;0;89,143494898;891,43494898;0; ;0;0; ;0;2704621,27659575;5;9;4;8
14;25;1;0;1;2022;2610638,29787234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2610638,29787234;2610638,29787234;816163;338225;3;0;89,143494898;89,143494898;0; ;0;0; ;0;2610638,29787234;5;9;4;8
14;28;1;0;1;2022;5064638,29787234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5064638,29787234;1012927,65957447;816163;338225;3;0;89,143494898;445,71747449;0; ;0;0; ;0;1012927,65957447;2;4;2;3
14;31;1;0;1;2022;4385872,34042553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4385872,34042553;2192936,17021277;816163;338225;3;0;89,143494898;178,286989796;0; ;0;0; ;0;2192936,17021277;4;8;4;8
14;39;1;0;1;2022;6265531,91489362;0;0;0;0;0;0;0;0;0;0;0;0;0;835404,255319149;0;0;835404,255319149;4;7031319,14893617;1757829,78723404;816163;338225;3;0;89,143494898;356,573979592;0; ;0;0; ;0;1757829,78723404;4;7;3;6
14;42;1;0;1;2022;8354042,55319149;0;0;0;0;0;0;0;0;0;0;0;0;0;2856485,26111297;0;0;5221276,59574468;1;10775421,4313257;10775421,4313257;816163;338225;3;0;89,143494898;89,143494898;0; ;0;0; ;0;10775421,4313257;5;10;5;10
14;49;1;0;1;2022;2297361,70212766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2297361,70212766;2297361,70212766;816163;338225;3;0;89,143494898;89,143494898;0; ;0;0; ;0;2297361,70212766;4;8;4;8
14;63;1;0;1;2022;11225744,6808511;0;0;0;0;0;0;0;0;0;0;0;0;0;5221276,59574468;0;0;1646514,33457203;4;16309811,7487148;4077452,93717869;816163;338225;3;0;89,143494898;356,573979592;0; ;0;0; ;0;4077452,93717869;5;10;5;10
30;1;1;0;1;2022;6860223,64217252;0;0;0;0;0;0;0;490015,974440894;0;0;0;0;0;1470047,92332268;0;0;0;5;8820287,5399361;1764057,50798722;816163;338225;3;0;66,690604199;333,453020995;0; ;0;0; ;0;1764057,50798722;4;7;3;6
30;3;1;0;1;2022;2940095,84664537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2940095,84664537;1470047,92332268;816163;338225;3;0;66,690604199;133,381208398;0; ;0;0; ;0;1470047,92332268;3;6;3;5
30;6;1;0;1;2022;0;0;0;0;0;686022,364217252;0;0;0;0;0;0;0;0;490015,974440894;0;0;0;1;1176038,33865815;1176038,33865815;816163;338225;3;0;66,690604199;66,690604199;0; ;0;0; ;0;1176038,33865815;3;5;2;4
30;7;1;0;1;2022;7742252,39616613;0;0;0;0;0;0;0;0;0;0;0;0;0;784025,559105431;56459;238617;0;4;8821353,95527156;2205338,48881789;816163;338225;3;0;66,690604199;266,762416796;0; ;0;0; ;0;2205338,48881789;4;8;4;8
30;22;1;0;1;2022;5011514,39309748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5011514,39309748;1670504,79769916;816163;338225;3;0;66,690604199;200,071812597;0; ;0;0; ;0;1670504,79769916;4;7;3;6
30;24;1;0;1;2022;6370207,66773163;0;0;1568051,11821086;0;0;0;0;0;0;0;0;0;0;784025,559105431;0;0;0;3;8722284,34504792;2907428,11501597;816163;338225;3;0;66,690604199;200,071812597;0; ;0;0; ;0;2907428,11501597;5;9;5;9
30;27;1;0;1;2022;3920127,79552715;0;0;0;0;294009,584664537;0;0;0;0;0;0;0;0;588019,169329073;0;0;0;4;4802156,54952076;1200539,13738019;816163;338225;3;0;66,690604199;266,762416796;0; ;0;0; ;0;1200539,13738019;3;5;2;4
30;35;1;0;1;2022;6713218,84984025;0;0;0;0;0;0;0;0;0;0;0;0;0;980031,948881788;112918;477234;0;8;8283402,79872204;1035425,34984026;816163;338225;3;0;66,690604199;533,524833592;0; ;0;0; ;0;1035425,34984026;3;5;2;4
30;37;1;0;1;2022;0;0;0;0;0;0;0;0;0;0;0;0;1078035,14376997;0;784025,559105431;0;0;0;3;1862060,7028754;620686,900958466;816163;338225;2;1;66,690604199;200,071812597;1;,239506200405475;,0573632200326677;0; ;0;620686,900958466;1;2;1;2
44;4;1;0;1;2022;5956310,67961167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5956310,67961167;2978155,33980583;816163;338225;3;0;82,512987013;165,025974026;0; ;0;0; ;0;2978155,33980583;5;9;5;9
44;5;1;0;1;2022;2779611,65048545;0;0;0;0;0;0;0;496359,223300973;0;0;0;0;0;0;0;0;0;2;3275970,87378642;1637985,43689321;816163;338225;3;0;82,512987013;165,025974026;0; ;0;0; ;0;1637985,43689321;4;7;3;6
44;7;1;0;1;2022;1886165,0485437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1886165,0485437;1886165,0485437;816163;338225;3;0;82,512987013;82,512987013;0; ;0;0; ;0;1886165,0485437;4;8;4;7
44;28;1;0;1;2022;10503706,1751461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10503706,1751461;3501235,39171538;816163;338225;3;0;82,512987013;247,538961039;0; ;0;0; ;0;3501235,39171538;5;10;5;9
44;35;1;0;1;2022;0;0;0;0;0;0;0;2978155,33980583;0;0;0;0;0;0;595631,067961167;0;0;0;1;3573786,407767;3573786,407767;816163;338225;3;0;82,512987013;82,512987013;0; ;0;0; ;0;3573786,407767;5;10;5;9
44;36;1;0;1;2022;1945728,15533981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1945728,15533981;972864,077669906;816163;338225;3;0;82,512987013;165,025974026;0; ;0;0; ;0;972864,077669906;2;4;2;3
44;42;1;0;1;2022;0;0;0;0;0;1489077,66990292;0;0;0;0;0;0;0;0;0;0;0;0;1;1489077,66990292;1489077,66990292;816163;338225;3;0;82,512987013;82,512987013;0; ;0;0; ;0;1489077,66990292;3;6;3;5
44;45;1;0;1;2022;0;0;0;0;0;1985436,89320389;0;0;0;0;0;0;0;0;0;0;0;0;1;1985436,89320389;1985436,89320389;816163;338225;3;0;82,512987013;82,512987013;0; ;0;0; ;0;1985436,89320389;4;8;4;7
44;47;1;0;1;2022;0;0;0;0;0;0;1191262,13592233;0;0;0;0;0;0;0;0;0;0;0;1;1191262,13592233;1191262,13592233;816163;338225;3;0;82,512987013;82,512987013;0; ;0;0; ;0;1191262,13592233;3;5;2;4
44;48;1;0;1;2022;3573786,407767;992718,446601945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4566504,85436895;761084,142394825;816163;338225;2;1;82,512987013;495,077922078;1;,0674851195229084;,00455424135702123;0; ;0;761084,142394825;2;3;1;2
