UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FEX.2022;POBREZAI;POBNOPOI
14;10;1;2022;0;1;0;2;2;1;4;2;4;5;1;1;1;2;11;7;1;1;1;1;2;1;2;2;1;1; ;1000000; ;6; ;1;6;1;1;6;1;1;1;1;6;1;6;6;1;6;1;6;1;1;6;4;89,143494898;3;0
14;20;1;2022;0;1;2;0;2;1;2;1;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;1200000; ; ;6; ;1;6;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;6;1;1;3;89,143494898;3;0
14;22;1;2022;0;1;0;5;5;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;1500000; ;6; ;1;6;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;1;6;6;4;89,143494898;3;0
14;24;1;2022;0;1;6;4;10;1;4;3;4;5;1;1;1;2;11;7;1;6;1;1;2;1;2;2;1;1; ;2000000; ;6; ;1;1;1;1;6;1;1;1;1;6;1;6;6;1;6;6;6;1;1;1;4;89,143494898;3;0
14;25;1;2022;0;1;1;0;1;3;1;1;4;5;1;1;1;2;1;2;1;6;1;1;2;6;4;2;4; ;400000; ; ;6; ;6;6;1;6;1;6;6;1;6;1;1;6;6;6;6;6;6;6;6;1;1;89,143494898;3;0
14;28;1;2022;0;1;3;2;5;3;3;2;4;5;6;1;1;2;1;2;1;6;1;1;2;1;2;2;4; ;800000; ; ;6; ;6;6;1;1;6;6;1;1;1;6;1;6;6;6;6;1;1;6;6;6;4;89,143494898;3;0
14;31;1;2022;0;1;1;1;2;3;1;1;4;5;6;1;1;2;11;7;1;6;1;1;2;6;4;2;4; ;500000; ; ;6; ;6;6;6; ; ;6;1;1;1;1;1;6;6;1;6;1;6;1;1;6;2;89,143494898;3;0
14;39;1;2022;0;1;1;3;4;1;4;3;4;5;1;1;1;2;11;7;1;1;1;1;1;1;4;2;1;1; ;800000; ;1;800000;6;1;1;1;6;1;1;1;1;1;1;6;6;1;6;6;6;1;6;6;3;89,143494898;3;0
14;42;1;2022;0;1;1;0;1;1;8;6;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;99999999999;700000000;1;5000000;6;6;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;1;1;6;1;89,143494898;3;0
14;49;1;2022;0;1;1;0;1;1;1;1;4;5;1;1;1;2;1;2;1;6;1;1;1;6;7;2;4; ;450000; ; ;6; ;6;6;1;1;6;6;1;1;6;1;1;1;1;6;6;1;6;6;6;1;1;89,143494898;3;0
14;63;1;2022;0;1;3;1;4;1;6;4;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;5000000; ;1;99999999999;1;1;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;1;1;6;2;89,143494898;3;0
30;1;1;2022;0;1;3;2;5;1;4;3;4;5;1;1;1;2;1;2;1;6;1;1;1;1;4;2;1;1; ;1500000; ;6; ;6;6;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;1;1;6;4;66,690604199;3;0
30;3;1;2022;0;1;1;1;2;1;6;4;4;5;1;1;1;2;11;7;1;6;1;1;1;1;3;2;4; ;1800000; ; ;6; ;1;6;6; ; ;6;1;1;1;1;1;6;1;1;6;1;1;1;1;6;2;66,690604199;3;0
30;6;1;2022;0;1;1;0;1;1;2;1;4;5;6;1;1;2;1;2;1;6;6;1;1;6;4;2;6; ; ;500000; ;6; ;6;6;6; ; ;1;1;1;6;1;6;6;6;6;6;6;6;6;6;6;1;66,690604199;3;0
30;7;1;2022;0;1;2;2;4;1;4;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;2;2; ;800000; ;6; ;1;6;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;6;6;1;4;66,690604199;3;0
30;22;1;2022;0;1;1;2;3;1;3;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;99999999999; ; ;6; ;6;6;1;1;6;1;1;1;1;1;1;6;6;1;6;6;6;1;1;6;4;66,690604199;3;0
30;24;1;2022;0;1;2;1;3;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;800000; ;6; ;6;6;6; ; ;1;1;1;1;6;1;6;6;1;6;1;6;1;1;1;2;66,690604199;3;0
30;27;1;2022;0;1;3;1;4;1;3;2;4;4;1;1;1;2;11;7;1;6;1;1;1;1;4;2;1;4; ;600000; ;6; ;1;6;1;1;6;1;1;1;1;1;1;6;6;1;6;6;1;1;6;6;5;66,690604199;3;0
30;35;1;2022;0;1;3;5;8;1;4;4;4;5;1;1;1;2;1;2;1;6;1;1;1;1;2;2;1;1; ;1000000; ;6; ;6;6;6; ; ;1;1;1;1;1;1;6;6;6;6;1;6;6;6;6;4;66,690604199;3;0
30;37;1;2022;0;1;2;1;3;1;3;2;4;4;4;1;1;2;1;2;1;6;1;1;1;1;2;6;1;1; ;800000; ;6; ;6;6;6; ; ;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;2;66,690604199;2;1
44;4;1;2022;0;1;1;1;2;2;1;1;4;5;1;1;1;2;11;7;1;6;1;1;1;6;4;2;4; ;600000; ; ;6; ;1;6;6; ; ;1;1;1;6;1;1;6;6;1;6;6;1;6;6;6;4;82,512987013;3;0
44;5;1;2022;0;1;1;1;2;2;1;1;4;5;1;1;1;2;1;2;1;6;1;1;1;1;4;2;4; ;650000; ; ;6; ;6;6;1;1;6;1;1;1;6;1;1;6;6;1;6;6;6;6;6;6;3;82,512987013;3;0
44;7;1;2022;0;1;1;0;1;2;1;1;4;5;1;1;1;2;11;7;1;6;1;1;1;6;4;2;4; ;600000; ; ;6; ;1;6;1;1;1;6;1;1;6;1;1;1;6;1;6;6;6;6;6;6;1;82,512987013;3;0
44;28;1;2022;0;1;0;3;3;2;4;2;4;5;6;1;1;2;1;2;1;6;1;1;1;1;2;2;4; ;1800000; ; ;6; ;1;6;1;1;6;1;1;1;1;6;1;6;6;1;6;1;6;6;6;6;4;82,512987013;3;0
44;35;1;2022;0;1;1;0;1;2;2;1;4;5;6;5; ;2;11;7;1;6;1;1;1;1;7;2;6; ; ;600000; ;6; ;6;6;1;6;1;1;1;1;1;6;6;6;6;1;6;6;6;6;6;6;1;82,512987013;3;0
44;36;1;2022;0;1;1;1;2;1;1;1;4;5;6;5; ;2;11;7;1;6;1;1;1;6;4;2;4; ;600000; ; ;6; ;1;6;1;1;6;6;6;1;6;1;1;6;6;6;6;6;6;6;6;6;4;82,512987013;3;0
